series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
EQ,"1,798.00","1,805.00","1,759.20","1,797.65","1,790.00","1,786.85","1,783.47","2,018.95",815.55,"5,17,699","92,33,01,961.85","46,650"
EQ,363.2,372.6,363.2,363.2,368.9,369.05,368.66,374.5,171.85,"2,78,92,188","10,28,27,22,918.85","3,41,507"
EQ,"1,800.00","1,898.80","1,800.00","1,808.40","1,854.00","1,840.80","1,856.35","2,417.75",469.0,"18,39,671","3,41,50,65,883.50","66,672"
EQ,310.5,322.45,305.9,310.55,321.4,320.75,318.08,322.45,191.7,"1,67,15,887","5,31,69,40,100.70","1,47,506"
EQ,632.1,646.35,631.0,629.55,635.55,638.25,640.53,650.0,240.0,"29,27,025","1,87,48,37,413.00","77,228"
EQ,244.2,247.95,240.8,242.35,242.4,242.1,244.39,293.75,80.35,"55,77,154","1,36,30,23,793.60","42,796"
EQ,301.95,317.25,301.85,301.85,313.05,313.6,312.82,317.25,190.65,"4,40,59,506","13,78,24,78,823.65","4,42,244"
EQ,"2,944.00","2,954.65","2,928.25","2,934.00","2,938.10","2,933.10","2,941.23","3,024.90","2,220.30","72,56,323","21,34,25,18,418.90","3,06,721"
EQ,665.2,668.9,646.0,656.05,648.0,648.45,655.09,696.2,253.0,"6,24,838","40,93,26,943.95","17,431"
EQ,934.00,953.90,930.70,929.65,942.25,941.85,944.17,953.90,503.0,"16,15,306","1,52,51,28,977.05","45,908"
EQ,618.0,637.05,614.5,607.35,635.35,634.65,628.87,687.95,331.45,"1,58,83,066","9,98,83,55,265.05","2,40,263"
EQ,631.7,642.5,623.55,627.6,631.0,627.55,631.6,663.0,105.0,"6,93,832","43,82,27,436.20","20,368"
EQ,281.0,284.6,279.05,282.85,282.6,282.8,282.26,292.55,150.05,"1,56,77,336","4,42,50,71,088.70","1,56,483"
EQ,172.0,174.6,168.25,168.85,173.1,173.4,171.7,196.8,81.4,"6,05,55,113","10,39,75,80,004.55","2,17,019"
EQ,97.45,99.2,97.0,96.2,98.0,98.0,98.08,115.85,42.55,"9,89,93,366","9,70,93,30,347.10","2,27,490"
EQ,422.5,427.95,417.0,420.1,420.5,420.65,421.61,506.0,148.2,"15,83,819","66,77,53,321.35","26,780"
EQ,507.0,536.75,504.5,495.4,535.5,533.5,527.27,594.8,239.2,"2,16,95,417","11,43,94,19,918.55","2,65,894"
EQ,450.05,459.95,449.25,449.25,457.8,457.85,456.21,459.95,199.4,"1,58,80,502","7,24,48,13,376.90","1,64,061"
EQ,209.0,210.15,201.7,209.1,205.1,205.05,204.8,213.65,102.95,"1,74,30,514","3,56,98,27,984.95","1,10,013"
EQ,711.5,715.7,695.1,712.65,698.6,698.25,700.9,814.9,532.0,"8,28,969","58,10,25,466.60","36,631"
EQ,457.55,459.55,449.4,454.3,452.0,453.9,454.89,487.6,223.25,"1,49,80,896","6,81,46,85,447.25","1,94,918"
EQ,135.0,138.65,133.65,134.4,136.9,137.15,136.86,170.5,35.1,"2,02,25,776","2,76,81,56,782.85","67,352"
EQ,618.0,624.6,604.7,612.45,606.8,608.1,612.24,646.9,214.0,"58,88,418","3,60,51,17,404.00","1,07,767"
EQ,457.9,475.8,449.4,453.9,475.5,474.6,466.42,487.6,223.25,"5,10,71,947","23,82,07,23,099.30","3,71,497"
